furo,de,ate,cli,fegl,sigl,pgl,algl,mngl,pfgl,cagl,mggl,tigl,fogl,f3gl,outros,g1,g2,g3,g4,fe1,si1,p1,al1,mn1,pf1,ca1,mg1,ti1,fo1,f3_1,fe2,si2,p2,al2,mn2,pf2,ca2,mg2,ti2,fo2,f3_2,fe3,si3,p3,al3,mn3,pf3,ca3,mg3,ti3,fo3,f3_3,fe4,si4,p4,al4,mn4,pf4,ca4,mg4,ti4,fo4,f3_4,fgra,fqgl,fq1,fq2,fq3,fq4,rec_am,mid_x,mid_y,mid_z,afe1,asi1,ap1,aal1,amn1,apf1,aca1,amg1,ati1,afo1,afe2,asi2,ap2,aal2,amn2,apf2,aca2,amg2,ati2,afo2,afe3,asi3,ap3,aal3,amn3,apf3,aca3,amg3,ati3,afo3,afe4,asi4,ap4,aal4,amn4,apf4,aca4,amg4,ati4,afo4,ind
DIRFD02,58.5,66.15,IFRGO,56.354,10.791,0.186,2.102,0.503,6.939,0.01,0.01,0.017,0.339,,21.07962,20.346,32.931,25.029,21.694,59.145,4.773,0.222,2.2,0.42,8.639,0.01,0.01,0.021,0.179,,58.25,7.22,0.223,2.07,0.515,7.98,0.01,0.01,0.013,0.29,,54.55,14.81,0.153,2,0.586,5.68,0.01,0.01,0.017,0.36,,52.941,17.218,0.135,2.176,0.468,5.218,0.01,0.01,0.018,0.539,,100,101.477,101.243,101.727,101.584,101.192,,660679.215,7799913.912,1008.475,1203.364170,97.111458,4.516812,44.761200,8.545320,175.769094,0.203460,0.203460,0.427266,3.641934,1918.230750,237.761820,7.343613,68.167170,16.959465,262.789380,0.329310,0.329310,0.428103,9.549990,1365.331950,370.679490,3.829437,50.058000,14.666994,142.164720,0.250290,0.250290,0.425493,9.010440,1148.502054,373.527292,2.928690,47.206144,10.152792,113.199292,0.216940,0.216940,0.390492,11.693066,1
DIRFD02,66.15,88.65,XI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660679.215,7799913.912,993.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
DIRFD03,0,5.05,CG,61.205,2.36,0.15,3.768,0.034,7.819,0.003,0.024,0.332,0.197,,14.70254,37.092,38.333,18.401,6.173,61.214,1.899,0.141,3.824,0.034,7.925,0.001,0.015,0.329,0.273,,61.38,2.38,0.159,3.68,0.034,7.96,0.001,0.02,0.305,0.14,,60.88,3.08,0.152,3.81,0.033,7.58,0.01,0.05,0.384,0.14,,61.044,2.865,0.138,3.862,0.036,7.016,0.012,0.02,0.369,0.258,,100,102.177,101.847,102.494,102.329,101.753,,660678.585,7799719.712,1078.515,2270.549688,70.437708,5.229972,141.839808,1.261128,293.954100,0.037092,0.556380,12.203268,10.126116,2352.879540,91.232540,6.094947,141.065440,1.303322,305.130680,0.038333,0.766660,11.691565,5.366620,1120.252880,56.675080,2.796952,70.107810,0.607233,139.479580,0.184010,0.920050,7.065984,2.576140,376.824612,17.685645,0.851874,23.840126,0.222228,43.309768,0.074076,0.123460,2.277837,1.592634,1
DIRFD03,5.05,10.3,CG,62.83,2.932,0.159,1.693,0.037,5.132,0.01,0.01,0.387,1.227,,10.58583,25.483,27.737,30.43,16.349,62.194,2.715,0.17,1.919,0.048,6.255,0.01,0.01,0.366,0.926,,61.77,3.86,0.183,1.71,0.041,5.93,0.01,0.01,0.308,1.01,,63.74,2.81,0.142,1.5,0.03,4.13,0.01,0.01,0.391,1.73,,63.927,1.92,0.136,1.668,0.028,3.891,0.011,0.011,0.548,1.13,,100,100.268,100.544,100.5,100.152,99.667,,660678.585,7799719.712,1073.365,1584.889702,69.186345,4.332110,48.901877,1.223184,159.396165,0.254830,0.254830,9.326778,23.597258,1713.314490,107.064820,5.075871,47.430270,1.137217,164.480410,0.277370,0.277370,8.542996,28.014370,1939.608200,85.508300,4.321060,45.645000,0.912900,125.675900,0.304300,0.304300,11.898130,52.643900,1045.142523,31.390080,2.223464,27.270132,0.457772,63.613959,0.179839,0.179839,8.959252,18.474370,1
DIRFD03,10.3,13.6,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660678.585,7799719.712,1069.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DIRFD03,13.6,20.55,IAL,49.418,15.359,0.115,6.883,0.048,6.562,0.01,0.069,0.654,1.525,,29.87523,19.779,35.324,24.501,20.396,57.75,8.022,0.151,3.712,0.039,5.718,0.012,0.008,0.313,2.16,,49.87,14.97,0.116,6.73,0.051,6.95,0.01,0.05,0.63,1.58,,41.54,22.46,0.107,9.34,0.051,7.41,0.01,0.11,0.852,0.72,,50.02,14.617,0.089,7.273,0.05,5.688,0.01,0.112,0.788,1.782,,100,100.347,100.507,100.795,99.803,100.073,,660678.585,7799719.712,1063.965,1142.237250,158.667138,2.986629,73.419648,0.771381,113.096322,0.237348,0.158232,6.190827,42.722640,1761.607880,528.800280,4.097584,237.730520,1.801524,245.501800,0.353240,1.766200,22.254120,55.811920,1017.771540,550.292460,2.621607,228.839340,1.249551,181.552410,0.245010,2.695110,20.874852,17.640720,1020.207920,298.128332,1.815244,148.340108,1.019800,116.012448,0.203960,2.284352,16.072048,36.345672,1
DIRFD03,20.55,27,IAL,54.767,11.185,0.143,5.255,0.041,6.267,0.008,0.047,0.447,1.276,,23.60043,20.062,34.143,25.509,20.286,47.551,17.047,0.119,7.893,0.043,7.868,0.001,0.094,0.747,0.905,,56.88,9.05,0.167,4.29,0.044,6.49,0.01,0.01,0.342,1.3,,54.89,11.99,0.15,5.26,0.041,5.94,0.01,0.09,0.387,2.16,,58.193,7.967,0.119,4.263,0.036,4.718,0.01,0.008,0.403,0.488,,100,101.749,101.861,101.808,102.309,100.832,,660678.585,7799719.712,1057.265,953.968162,341.996914,2.387378,158.349366,0.862666,157.847816,0.020062,1.885828,14.986314,18.156110,1942.053840,308.994150,5.701881,146.473470,1.502292,221.588070,0.341430,0.341430,11.676906,44.385900,1400.189010,305.852910,3.826350,134.177340,1.045869,151.523460,0.255090,2.295810,9.871983,55.099440,1180.503198,161.618562,2.414034,86.479218,0.730296,95.709348,0.202860,0.162288,8.175258,9.899568,1
DIRFD03,27,34.05,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660678.585,7799719.712,1050.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DIRFD03,34.05,39.85,IGO,43.43,29.857,0.068,0.824,0.154,7.33,0.01,0.071,0.03,0.643,,38.51796,29.091,33.195,19.492,18.222,38.999,36.96,0.055,0.597,0.096,5.509,0.01,0.056,0.048,1.21,,48.85,22.56,0.076,0.98,0.169,8.68,0.01,0.09,0.012,0.29,,45.55,25.83,0.074,0.89,0.216,8.11,0.01,0.08,0.053,0.62,,38.361,36.12,0.067,0.831,0.151,6.945,0.01,0.052,0.009,0.408,,100,100.496,99.053,102.533,100.475,99.114,,660678.585,7799719.712,1044.09,1134.519909,1075.203360,1.600005,17.367327,2.792736,160.262319,0.290910,1.629096,1.396368,35.200110,1621.575750,748.879200,2.522820,32.531100,5.609955,288.132600,0.331950,2.987550,0.398340,9.626550,887.860600,503.478360,1.442408,17.347880,4.210272,158.080120,0.194920,1.559360,1.033076,12.085040,699.014142,658.178640,1.220874,15.142482,2.751522,126.551790,0.182220,0.947544,0.163998,7.434576,1
DIRFD03,39.85,46.3,IA,45.074,28.315,0.08,1.021,0.055,7.672,0.004,0.007,0.071,0.465,,37.359,26.803,36.579,19.253,17.363,43.22,31.276,0.076,0.851,0.045,6.158,0.001,0.01,0.036,0.43,,44.72,28.83,0.077,0.92,0.054,8.68,0.001,0.001,0.086,0.43,,46.34,26.36,0.085,1.15,0.067,8.11,0.01,0.01,0.054,0.58,,47.285,24.833,0.09,1.351,0.06,7.398,0.01,0.014,0.112,0.468,,100,101.736,100.308,102.652,102.163,101.551,,660678.585,7799719.712,1037.965,1158.425660,838.290628,2.037028,22.809353,1.206135,165.052874,0.026803,0.268030,0.964908,11.525290,1635.812880,1054.572570,2.816583,33.652680,1.975266,317.505720,0.036579,0.036579,3.145794,15.728970,892.184020,507.509080,1.636505,22.140950,1.289951,156.141830,0.192530,0.192530,1.039662,11.166740,821.009455,431.175379,1.562670,23.457413,1.041780,128.451474,0.173630,0.243082,1.944656,8.125884,1
